"",curtain,studio,1
"",studio,shirt,0
"",electric bulb,studio,1
"",plate,garage,1
"",parking lot,fridge,0
"",warehouse,bowl,0
"",notebook,pond,1
"",house,towel,0
"",package,suitcase,1
"",drawer,mouse,0
"",teddy bear,food,0
"",glove,stretcher,1
"",rose,bear,1
"",pot,bird,0
"",diamond,CD,1
"",dish,key,0
"",credit card,shelf,1
"",shelf,cutting board,0
"",flag,shelf,1
"",lens,shelf,1
"",rice cooker,shelf,1
"",shelf,ladybug,0
"",shelf,helmet,0
"",shelf,nail,0
"",frog,mouth,1
"",zipper,flea,0
"",squirrel,box,1
"",frog,bag,1
"",tractor,cattle,0
"",actor,ambulance,1
"",gun,squirrel,1
"",gun,rabbit,1
"",gun,person,1
"",gun,squirrel,1
"",gun,squirrel,1
"",gun,rabbit,1
"",person,gun,0
"",actor,gun,0
"",ring,closet,1
"",pot,sandwich,0
"",tractor,sheet,0
"",rose,boot,1
"",snake,van,1
"",lens,crib,1
"",pond,piggy bank,0
"",shelf,leaf,0
"",chocolate,bag,1
"",sandwich,rice cooker,1
"",disk,teddy bear,1
"",drawer,worm,0
"",desk,pollen,0
"",fridge,vegetable,0
"",frog,fridge,1
"",bush,rabbit,0
"",ladybug,pot,1
"",blanket,sink,1
"",bomb,shelf,1
"",teddy bear,drawer,1
"",book,candle,0
"",toy,oven,1
"",rhinoceros,ticket,0
"",key box,dish,1
"",rock,candle,0
"",biscuit,actor,1
"",fish,monkey,1
"",penny,clown,1
"",actor,snake,0
"",clown,rock,0
"",clown,frog,0
"",cutting board,monkey,1
"",clown,frog,0
"",human,chicken,0
"",photo,clown,1
"",actor,penny,0
"",sack,clown,1
"",dictionary,actor,1
"",sheet,clown,1
"",credit card,pot,1
"",wallet,pot,1
"",pot,camera,0
"",pot,kitten,0
"",penny,pot,1
"",cigarette,pot,1
"",pot,mouse,0
"",electric bulb,ring,0
"",trash can,van,1
"",envelope,jar,0
"",nest,desk,1
"",frisbee,plane,1
"",bacteria,shelf,1
"",bike,ship,1
"",chocolate,actor,1
"",dictionary,clown,1
"",mug,person,1
"",teddy bear,monkey,1
"",piano,person,1
"",rabbit,salmon,0
"",actor,chicken,0
"",human,stretcher,1
"",beatle,rice cooker,1
"",tank,drawer,0
"",aquarium,flower,0
"",actor,house,1
"",car,bee,0
"",ship,salmon,0
"",snake,room,1
"",oven,kitten,0
"",pocket,butterfly,0
"",snake,monkey,1
"",rabbit,ladybug,0
"",salmon,actor,1
"",person,salmon,0
"",human,actor,1
"",ladybug,squirrel,1
"",human,headphone,0
"",phone,monkey,1
"",orange,monkey,1
"",actor,file,0
"",fish,person,1
"",camera,actor,1
"",ball,aircraft,1
"",key,stretcher,1
"",aircraft,ice,0
"",ambulance,diamond,0
"",diamond,car,1
"",bag,aircraft,1
"",candy,bus,1
"",tractor,handkerchief,0
"",ambulance,shelf,0
"",tank,insect,0
"",tractor,suitcase,0
"",oven,stretcher,1
"",bicycle,key,0
"",car,flower,0
"",bus,kitten,0
"",stretcher,box,0
"",stretcher,butterfly,0
"",helmet,studio,1
"",zipper,pond,1
"",letter,tank,1
"",rabbit,candy,0
"",person,monitor,0
"",squirrel,person,1
"",bear,needle,0
"",clown,basket ball,0
"",human,comic,0
"",rabbit,monkey,1
"",zipper,clown,1
"",rock,bear,1
"",bear,pot,0
"",keyboard,coin,0
"",comic,piggy bank,0
"",album,flag,1
"",mug,ambulance,1
"",pot,closet,1
"",refrigerator,glove,0
"",shirt,pan,1
"",laptop,cutting board,0
"",squirrel,car,1
"",envelope,salmon,0
"",aircraft,flea,0
"",worm,CD,1
"",ant,book,1
"",squirrel,letter,1
"",newspaper,watermelon,0
"",file,fish,0
"",flag,ring,0
"",newspaper,credit card,0
"",candle,plate,1
"",ring,sheet,1
"",tank,battery,0
"",ice,zipper,1
"",chicken,van,1
"",helmet,book,0
"",pollen,shirt,1
"",pond,electric fan,0
"",keyboard,hive,1
"",car,frog,0
"",van,dog,0
"",tractor,kitten,0
"",ladybug,warehouse,1
"",desk,frog,0
"",flea,file,1
"",bird,container,1
"",credit card,garage,1
"",dish,car,1
"",file,glove,1
"",oven,sink,1
"",cutting board,blanket,1
"",food,towel,1
"",towel,banana,0
"",plate,frog,0
"",letter,photo,0
"",handkerchief,coin,0
"",hand,ladybug,0
"",blanket,handkerchief,0
"",jar,handkerchief,1
"",asylum,butterfly,0
"",trash can,frog,0
"",bee,closet,1
"",package,butterfly,0
"",ladybug,spoon,1
"",worm,crib,1
"",plate,frog,0
"",blanket,snake,0
"",frisbee,rabbit,0
"",snake,potato,0
"",watermelon,snake,0
"",bomb,bag,1
"",bird,photo,0
"",coin,clown,1
"",hat,human,1
"",bird,human,1
"",electric bulb,clown,1
"",watch,person,1
"",monkey,cutting board,0
"",bear,dish,0
"",frisbee,pot,1
"",newspaper,drawer,1
"",actor,garage,1
"",ambulance,brush,0
"",pollen,file,1
"",bin,candy,0
"",plate,tank,1
"",bear,pond,1
"",plane,shirt,0
"",bomb,teddy bear,1
"",asylum,watermelon,0
"",shelf,rabbit,0
"",fridge,phone,0
"",fridge,suitcase,0
"",biscuit,fridge,1
"",book,fridge,1
"",garage,food,0
"",bee,bottle,1
"",rabbit,studio,1
"",ship,ladybug,0
"",ant,key box,1
"",worm,hat,1
"",shelf,mouse,0
"",plane,insect,0
"",sheet,spider,0
"",food,shirt,1
"",newspaper,sandwich,0
"",keyboard,watermelon,0
"",tractor,refrigerator,0
"",spoon,bee,0
"",shelf,bracelet,0
"",salmon,pot,1
"",car,letter,0
"",bird,house,1
"",nail,trash can,1
"",house,teddy bear,0
"",box,bag,1
"",bag,dog,0
"",envelope,tobacco,0
"",pond,ball,0
"",shelf,fridge,1
"",actor,car,1
"",squirrel,tank,1
"",squirrel,hive,1
"",zipper,watch,0
"",plane,tank,0
"",bag,snake,0
"",crib,bee,0
"",nectar,asylum,1
"",rabbit,hat,1
"",rose,piano,1
"",ship,leaflet,0
"",ship,key box,0
"",dish,aquarium,1
"",room,coin,0
"",rose,fridge,1
"",key,mouth,1
"",rice cooker,vegetable,0
"",bus,insect,0
"",cat,plane,1
"",sandwich,burrow,1
"",camera,tank,1
"",chocolate,box,1
"",van,sandwich,0
"",trash can,actor,1
"",person,flea,0
"",bacteria,human,1
"",key box,monkey,1
"",bike,bear,1
"",actor,butterfly,0
"",crib,candle,0
"",plane,penny,0
"",ticket,shelf,1
"",nail,envelope,1
"",shelf,key,0
"",piggy bank,warehouse,1
"",television,house,1
"",garage,monkey,0
"",ant,suitcase,1
"",teddy bear,ant,0
"",zipper,flea,0
"",bird,van,1
"",file,fish,0
"",notebook,tractor,1
"",boot,potato,0
"",leaflet,rice cooker,1
"",pot,egg,0
"",dog,tank,1
"",ant,helmet,1
"",rhinoceros,studio,1
"",closet,mouse,0
"",desk,salmon,0
"",marble,fridge,1
"",ruler,car,1
"",salmon,ice,0
"",flea,file,1
"",bush,human,0
"",bowl,rabbit,0
"",spoon,ladybug,0
"",fridge,human,0
"",tractor,beatle,0
"",room,actor,0
"",squirrel,tractor,1
"",smartphone,bag,1
"",cigarette,burrow,1
"",closet,bottle,0
"",key box,rose,0
"",flea,shelf,1
"",dog,shelf,1
"",jar,bee,0
"",refrigerator,squirrel,0
"",shelf,human,0
"",tobacco,fridge,1
"",desk,vegetable,0
"",refrigerator,van,1
"",bird's beak,package,1
"",clown,studio,1
"",flower,boot,1
"",nail,ship,1
"",potato,envelope,1
"",ruler,closet,1
"",gun,shelf,1
"",apple,teddy bear,1
"",mouse,bag,1
"",file,diamond,0
"",rice cooker,wallet,0
"",photo,helmet,1
"",crib,sandwich,0
"",ladybug,teddy bear,1
"",smartphone,zipper,1
"",room,refrigerator,0
"",teddy bear,vegetable,0
"",bag,chocolate,0
"",file,nectar,0
"",shelf,bicycle,0
"",squirrel,aircraft,1
"",rabbit,envelope,1
"",elephant,house,1
"",cat,desk,1
"",piggy bank,zipper,0
"",plane,diamond,0
"",pencil,zipper,1
"",file,penny,0
"",snake,drawer,1
"",nest,watch,0
"",ladybug,jar,1
"",bird,asylum,1
"",bird,hive,1
"",rice cooker,beatle,0
"",bird's beak,beatle,0
"",potato,pot,1
"",jelly,balloon,1
"",mouse,boot,1
"",container,chocolate,0
"",tank,flower,0
"",bush,battery,0
"",bush,snake,0
"",piggy bank,wallet,0
"",towel,pocket,1
"",boot,piggy bank,0
"",pocket,smartphone,0
"",desk,candy,0
"",trash can,bracelet,0
"",clown,boot,0
"",human,boot,0
"",plate,human,1
"",headphone,clown,1
"",flea,actor,1
"",actor,bee,0
"",nail,human,1
"",letter,bear,1
"",human,towel,0
"",person,book,0
"",butterfly,human,1
"",cat,rabbit,1
"",clown,leaf,0
"",ticket,bear,1
"",television,human,1
"",photo,bear,1
"",human,piggy bank,0
"",chocolate,monkey,1
"",person,frisbee,0
"",monkey,tobacco,0
"",orange,squirrel,1
"",plant,hat,1
"",plant,suitcase,1
"",plant,ship,1
"",tractor,plant,0
"",plant,bag,1
"",box,plant,0
"",jar,plant,0
"",plant,balloon,1
"",leaflet,rabbit,1
"",human,plate,0
"",squirrel,leaflet,0
"",potato,squirrel,1
"",actor,suitcase,0
"",bin,clown,1
"",clown,dog,0
"",studio,bee,0
"",trash can,pond,1
"",plane,suitcase,0
"",envelope,oven,1
"",shelf,flag,0
"",studio,fish,0
"",box,zipper,0
"",container,ladybug,0
"",mouse,frisbee,1
"",ladybug,leaf,1
"",mouse,handkerchief,1
"",frog,file,1
"",blanket,bee,0
"",photo,person,1
"",laptop,human,1
"",ant,rabbit,1
"",rabbit,bottle,0
"",human,bee,0
"",rabbit,monkey,1
"",clown,bag,0
"",clown,flea,0
"",plane,human,0
"",bee,piano,1
"",beatle,studio,1
"",butterfly,warehouse,1
"",bag,ticket,0
"",chicken,mug,0
"",van,refrigerator,0
"",marble,key box,1
"",piano,piggy bank,0
"",tractor,egg,0
"",cat,warehouse,1
"",butterfly,package,1
"",tractor,bacteria,0
"",home,insect,0
"",beatle,pond,1
"",home,ant,0
"",warehouse,bee,0
"",parking lot,worm,0
"",rhinoceros,garage,1
"",house,elephant,0
"",parking lot,flea,0
"",insect,ambulance,1
"",human,house,1
"",shirt,ant,0
"",studio,ladybug,0
"",box,kitten,0
"",closet,insect,0
"",frog,bus,1
"",butterfly,key box,1
"",battery,van,1
"",pollen,zipper,1
"",mug,penny,0
"",teddy bear,lens,0
"",candle,bin,1
"",mug,phone,0
"",bag,towel,0
"",butterfly,rice cooker,1
"",bus,bird,0
"",bird,pond,1
"",bee,ambulance,1
"",bee,badge,1
"",beatle,ruler,1
"",insect,ladybug,0
"",album,candy,0
"",bomb,bus,1
"",comic,diamond,0
"",insect,sink,1
"",keyboard,flower,0
"",bus,bag,0
"",ship,box,0
"",container,ice,0
"",house,book,0
"",credit card,bowl,1
"",desk,boot,0
"",credit card,nest,1
"",frisbee,envelope,1
"",squirrel,burrow,1
"",asylum,clown,0
"",bear,house,1
"",tank,rabbit,0
"",warehouse,person,0
"",rabbit,bacteria,0
"",squirrel,person,1
"",human,leaf,0
"",piano,actor,1
"",rabbit,gun,0
"",squirrel,rose,0
"",blanket,human,1
"",home,pot,0
"",home,receipt,0
"",worm,trash can,1
"",spider,file,1
"",garage,eraser,0
"",watermelon,pocket,1
"",bin,stretcher,1
"",squirrel,aircraft,1
"",snake,shirt,1
"",bee,bowl,1
"",balloon,car,1
"",butterfly,aircraft,1
"",ambulance,oven,0
"",knife,stretcher,1
"",fridge,bus,1
"",vegetable,bicycle,1
"",flea,ambulance,1
"",beatle,bike,1
"",ring,suitcase,1
"",stretcher,dish,0
"",spider,aircraft,1
"",tractor,bracelet,0
"",suitcase,battery,0
"",pond,sheet,0
"",biscuit,package,1
"",sink,squirrel,0
"",bed,container,1
"",pot,smartphone,0
"",spoon,trash can,1
"",asylum,actor,0
"",actor,container,1
"",closet,clown,0
"",garage,printer,0
"",asylum,banana,0
"",refrigerator,brush,0
"",piano,bag,0
"",apple,studio,1
"",food,garage,1
"",balloon,ball,0
"",desk,leaflet,0
"",aircraft,elephant,0
"",house,flea,0
"",pond,credit card,0
"",home,television,0
"",banana,house,1
"",trash can,aquarium,1
"",teeth,piggy bank,1
"",zipper,pollen,0
"",plane,needle,0
"",jar,shelf,1
"",refrigerator,worm,0
"",closet,leaf,0
"",fridge,cigarette,0
"",box,snake,0
"",desk,vegetable,0
"",key box,teeth,0
"",pond,glove,0
"",penny,pond,1
"",bush,sack,0
"",pond,credit card,0
"",envelope,pollen,0
"",suitcase,jar,0
"",garage,leaf,0
"",tobacco,warehouse,1
"",desk,spider,0
"",studio,pot,0
"",shelf,snake,0
"",van,marble,0
"",plane,CD,0
"",canvas,ice,0
"",egg,canvas,1
"",canvas,oven,0
"",thumb,canvas,1
"",sandwich,actor,1
"",clown,boot,0
"",dictionary,clown,1
"",electric bulb,clown,1
"",human,dictionary,0
"",camera,human,1
"",orange,actor,1
"",eraser,fridge,1
"",box,hat,0
"",mouth,potato,0
"",rabbit,eraser,0
"",ticket,stretcher,1
"",apple,cattle,1
"",radio,ladybug,0
"",fridge,spider,0
"",insect,biscuit,1
"",sink,bee,0
"",hive,gun,0
"",electric bulb,mouth,1
"",marble,closet,1
"",envelope,brush,0
"",rice cooker,sandwich,0
"",garage,person,0
"",flower,refrigerator,1
"",ship,boot,0
"",shirt,smartphone,0
"",aircraft,pencil,0
"",comic,bottle,0
"",actor,refrigerator,1
"",closet,actor,0
"",fridge,human,0
"",pot,candy,0
"",handkerchief,burrow,1
"",bracelet,egg,1
"",aircraft,box,0
"",banana,fridge,1
"",bomb,fridge,1
"",letter,tank,1
"",key box,mouse,0
"",electric bulb,key box,1
"",bird's beak,apple,0
"",tank,knife,0
"",burrow,bomb,0
"",bag,brush,0
"",refrigerator,bomb,0
"",stretcher,monitor,0
"",bed,home,1
"",jelly,wallet,1
"",ship,flower,0
"",pocket,glove,0
"",ship,helmet,0
"",bee,bin,1
"",desk,bracelet,0
"",handkerchief,box,1
"",file,key box,0
"",refrigerator,table,0
"",garage,package,0
"",container,bird,0
"",keyboard,refrigerator,1
"",pan,aircraft,1
"",hive,phone,0
"",van,fridge,0
"",tobacco,studio,1
"",garage,ruler,0
"",refrigerator,suitcase,0
"",cigarette,bird's beak,1
"",receipt,pot,1
"",pan,desk,1
"",key box,hat,1
"",warehouse,human,0
"",snake,home,1
"",sack,ship,1
"",container,desk,0
"",shelf,jar,0
"",electric bulb,desk,1
"",hat,worm,0
"",aircraft,cattle,0
"",butterfly,boot,1
"",beatle,tractor,1
"",bin,flea,0
"",actor,stretcher,1
"",ladybug,drawer,1
"",rabbit,refrigerator,1
"",worm,box,1
"",bee,piano,1
"",kitten,shelf,1
"",insect,studio,1
"",flea,pot,1
"",chicken,aircraft,1
"",ant,human,1
"",helmet,human,1
"",clown,sandwich,0
"",electric fan,human,1
"",eraser,human,1
"",bomb,human,1
"",needle,human,1
"",table,human,1
"",leaflet,bus,1
"",needle,couch,1
"",bus,butterfly,0
"",tractor,jelly,0
"",aircraft,shelf,0
"",flower,hat,1
"",hat,rice cooker,1
"",mug,flea,0
"",rice cooker,insect,0
"",bag,sandwich,0
"",shirt,ambulance,1
"",ambulance,leaf,0
"",dish,box,1
"",leaflet,ambulance,1
"",notebook,leaflet,0
"",crib,envelope,0
"",blanket,envelope,0
"",photo,leaf,0
"",handkerchief,closet,1
"",bottle,wallet,0
"",blanket,oven,1
"",photo,file,1
"",plane,refrigerator,0
"",box,piano,1
"",chicken,van,1
"",van,apple,0
"",teeth,sack,1
"",pond,needle,0
"",shelf,tobacco,0
"",notebook,studio,1
"",handkerchief,boot,1
"",package,needle,0
"",needle,bottle,1
"",ticket,needle,0
"",needle,boot,1
"",needle,elephant,1
"",CD,needle,0
"",bag,needle,0
"",balloon,frisbee,0
"",plane,eraser,0
"",flea,shelf,1
"",package,salmon,0
"",watch,bottle,1
"",bacteria,tractor,1
"",biscuit,drawer,1
"",refrigerator,sack,0
"",bowl,ladybug,0
"",bag,battery,0
"",frisbee,house,1
"",shirt,piano,1
"",studio,key box,0
"",salmon,sink,1
"",key,ship,1
"",helmet,glove,0
"",ambulance,plate,0
"",candle,piggy bank,1
"",package,clown,1
"",notebook,rhinoceros,1
"",rhinoceros,cigarette,0
"",dog,jar,0
"",snake,key,0
"",salmon,eraser,0
"",salmon,cattle,1
"",electric bulb,chicken,1
"",actor,bomb,0
"",human,headphone,0
"",credit card,bear,1
"",actor,clown,1
"",actor,leaf,0
"",squirrel,nectar,0
"",squirrel,gun,0
"",egg,bear,1
"",receipt,rabbit,1
"",rabbit,spider,0
"",actor,sandwich,0
"",gun,squirrel,1
"",bear,keyboard,0
"",watermelon,human,1
"",candle,rabbit,1
"",bird,aquarium,1
"",mouse,refrigerator,1
"",helmet,cat,0
"",fridge,human,0
"",key box,mouse,0
"",sink,rabbit,0
"",ladybug,key box,1
"",human,frisbee,0
"",newspaper,human,1
"",pot,human,1
"",actor,boot,0
"",bag,human,1
"",towel,clown,1
"",actor,basket ball,0
"",hand,chocolate,0
"",credit card,frisbee,1
"",keyboard,squirrel,0
"",eraser,CD,1
